7;Sedam vrhova; Stipe Bozic;164
149;O cemu razmislja moj pas?; Gwen Bailey;36
206;Tko se skrio u vodi?; Ana Martin-Larranaga;126
232;Savrsen spijun; John Le Carré;24
20;Hrana; Martyn Bramwell;121
53;Temeljne edukacijske znanosti i metodike nastave; Ante Bezen (ur.);121
124;Nasa ziva zemlja; Eduardo Banqueri;140
170;Kako nacrtati osjecaj?; Mirjana Tomasevic Dancevic;151
160;Teen psiha; Dubravka Miljkovic i Majda Rijavac;32
3;Mitovi i legende; Philip Wilkinson;126
73;Matematika i muzika; Zvonimir Sikic i Zoran Scekic;140
205;Kolaci; Carla Bardi;152
8;Kako je to bilo; Maryann Burk Carver;84
208;Obicna pisma neobicnim ljudima - meki uvez; Nenad Ivankovic;14
1;Geografski atlas Azije; Denis Sehic;121
77;Nestasni mladunci; Sarah Pitt;11
126;Upoznaj Europsku Uniju;  Skupina autora;153
256;Zivot na Zemlji; Eduardo Banqueri;159
132;Balerine - odjeni ih naljepnicama - meki uvez; Leonie Pratt;14
135;Skakutava maca -   tvrdi uvez; J.Child;176
83;Zaljubljivanja; Javier Marias;51
64;Zauvijek sretni - kiosk; Nora Roberts;25
11;Tko se skrio na farmi?; ana Martin-Larranaga;86
153;Mjesto zvano ovdje - meki uvez; Cecelia Ahern;171
211;Putovanje u beskraj; Serge Brunier;54
6;Ocjenjivanje;  Skupina autora;73
68;Organski dom; Rosamond Richardson;11
162;Tragovima odiseja - meki uvez; Jasen Boko;24
142;Ruska avangarda 2; Aleksandar Flaker;134
143;Kako postati sretan - meku uvez; Rima Rudner;49
230;Sto je s mojim psom?; Bruce Fogle;107
2;80 kreativnih likovnih radionica; Sylvia Dorance;42
246;Knjigocid - unistavanje knjiga u hrvatskoj 1990-tih; Ante Lesaja;17
49;Prirucnik za pravilno pisanje; Mijo Loncaric;117
200;Tolkienov svijet; Gareth Hanrahan i Peter Mckinstry;39
229;Svrljasticno; Tim Bugbird;66
157;Bolji brak - kiosk; dr.sc.Joshua Coleman;131
203;Juhe; Carla Bardi;60
250;Naucite dijete spavati; Nevena Lovrincevic;99
167;Zenski mozak; Louann Brizendine;96
212;Fantasticna bica; Jim Pipe;66
10;Kako odgojiti stene - meki uvez; Caroline Davis;175
125;Kako odgojiti sretnu bebu; Carol Valinejad;91
238;Sto su osjecaji?; Oscar Brenifier;83
251;Posljednje pismo tvojega ljubavnika - kiosk (platinasta kolekcija); Jojo Moyes;117
29;Velika knjiga o vinu; Joanna Simon;121
93;Veliki gospodar - Sulejman Velicanstveni; Louis Gardel;148
223;Falis mi - 2.dio tvrdi uvez; Mani Gotovac;19
90;100 jednostavnih tajni zdravih ljudi - kiosk; David Niven;146
108;Mudrost-povijest slobodnog zidarstva; Branko Somen;88
70;Osmi grijeh - posluh; Natalija Princi-Duhovic;151
78;Prag; Vladimir Soukup;19
248;Hipnoza - meki uvez; Drazen Radakovic;57
54;Umjetnost - kreativne aktivnosti - meki uvez; Ruth Thomson;103
192;Zvjezdane vatre dalekog svemira; Vladis Vujnovic;96
65;Svijet Egipta; Stella Galdwll;30
15;Metamorfoze znanstvene fantastike; Darko Suvin;37
84;Moji najdrazi recepti; Stevo Karapandza;18
59;Proza poslije FAK-a; Jagna Pogacnik;113
97;Nesalomljivi; Laura Hillenbrand;119
202;Kalendar maja  - tvrdi uvez; Zoran Feric;69
23;Sunset park; Paul Auster;89
36;Dragulj Sankt Peterburga - meki uvez ; Kate Furnivall;108
106;Tajne vitezova templara; S.J.Hodge;114
60;Novi roditelji; Miriam Stoppard;33
194;Ucitelj ucitelja; Dragutin Rosandic;111
195;Rijeci s nahtkasna i kantunala (preko nocnog ormarica); Nives Opacic;112
189;Borba za dusevno zdravlje; Norman Sartorius;31
197;Metodika; Ante Bezen;65
123;Probudite genijalca u svojem djetetu; Ken Adams;88
32;Tkanje zivota; Mirjana Krizmanic;146
104;Muskarci koje sam voljela; Adele Parks;20
26;Frida ili o boli; Slavenka Drakulic;126
227;Peljar za tumace; Dean Slavic;94
16;Sto je s mojom mackom?; Bruce Fogle;136
213;Vodic za spijune; Judy Hindley;169
237;Moja mediteranska dijeta; dr.Lejla Kazinic-Kreho;18
198;Putovanje labirintom; Kjartan Poskitt;19
55;Geografski atlas Afrike; Denis Sehic;145
133;Kuca lutaka s naljepnicama; Ina Hattenhauer;15
240;Sto zele single zene; Jean-Claude Kaufmann;35
91;Vladari iz sjene; Jim Marrs;16
180;100 jednostavnih tajni uspjesnih ljudi - kiosk; David Niven;17
139;Kreativna kuhinja; Stevo Karapandza;112
155;Novi obiteljski lijecnik; Tony Smith;17
98;Velecanstvena matematika; Jonathan i Thomas Flintham;134
161;Botticellijeva tajna; Marina Fiorato;90
239;Pricom do uspjeha; Peter Guber;119
253;Otkrivamo ljudsko tijelo; Sue Davidson;171
136;Klasika-poucavanje na temeljima klasicnog obrazovanja; Leigh A. Bortins;38
228;Nebo; Jean-Pierre Verdet;144
187;Odbrojavanje; Tena Stivicic;70
193;200 najboljih talijanskih jela - meki uvez; Marina Filippelli;171
122;Zmajevi - kreativne aktivnosti - meki uvez; Andrea Pinnington;142
130;Iskra: Kako sam u autisticnom sinu pronasla genija; Kristine Barnett;18
19;Tjestenine; Carla Bardi;98
52;Muskarac i djecak - kiosk; Tony Parsons;76
148;Ja koja imam nevinije ruke; Vesna Parun;153
62;Knjiga sutrasnjice - kiosk (platinasta kolekcija); Cecelia Ahern;42
67;Tajne i cuda prirode; Elizabeth Dalby;69
235;Zasto djeca to rade?; Richard C. Woolfson;146
166;Vrtlarski dnevnik - tvrdi uvez; Kornelija Benyovsky Sostaric;74
